province,city,barangay,shipping_days
ABRA,BANGUED,ZONE 7 POB. (BALILING),3
ABRA,BANGUED,LINGTAN,3
ABRA,BANGUED,LIPCAN,3
ABRA,ABRA-SAN-JUAN,POBLACION SOUTH,3
ABRA,LAGANGILAN,LAGUIBEN,3
ABRA,MANABO,SAN JUAN NORTE,3
ABRA,LAGANGILAN,BALAIS,3
ABRA,PIDIGAN,POBLACION EAST,3
ABRA,VILLAVICIOSA,POBLACION,3
ABRA,BANGUED,TABLAC (CALOT),3
ABRA,ABRA-SAN-QUINTIN,TANGADAN,3
ABRA,LUBA,SABNANGAN,3
ABRA,BANGUED,PALAO,3
ABRA,TAYUM,PATUCANNAY,3
ABRA,PIDIGAN,SULBEC,3
ABRA,BANGUED,ZONE 1 POB. (NALASIN),3
ABRA,PENARRUBIA,DUMAYCO,3
ABRA,ABRA-SAN-JUAN,SUPI-IL,3
ABRA,ABRA-PILAR,OCUP,3
ABRA,BANGUED,BANACAO,3
ABRA,ABRA-PILAR,POBLACION,3
ABRA,BOLINEY,BOLINEY POBLACION,3
ABRA,MANABO,SAN JUAN SUR,3
ABRA,LUBA,POBLACION,3
ABRA,MANABO,SAN RAMON WEST,3
ABRA,BUCAY,LABON,3
ABRA,BANGUED,ZONE 4 POB. (TOWN PROPER),3
ABRA,ABRA-SAN-QUINTIN,PALANG,3
ABRA,BANGUED,PATUCANNAY,3
ABRA,PIDIGAN,ALINAYA,3
ABRA,TAYUM,GADDANI,3
ABRA,BUCAY,PAKILING,3
ABRA,PIDIGAN,MONGGOC,3
ABRA,LAGAYAN,PULOT,3
ABRA,BANGUED,BANGBANGAR,3
ABRA,ABRA-SAN-QUINTIN,POBLACION,3
ABRA,ABRA-PILAR,SOUTH BALIOAG,3
ABRA,ABRA-LA-PAZ,MALABBAGA,3
ABRA,BANGUED,CALABA,3
ABRA,BANGUED,CABULOAN,3
ABRA,LAGANGILAN,SAN ISIDRO,3
ABRA,SALLAPADAN,SACCAANG,3
ABRA,TAYUM,BUDAC,3
ABRA,ABRA-SAN-ISIDRO,PANTOC,3
ABRA,TAYUM,DEET,3
ABRA,ABRA-PILAR,PATAD,3
ABRA,ABRA-SAN-ISIDRO,LANGBABAN,3
ABRA,VILLAVICIOSA,TUQUIB,3
ABRA,LAGAYAN,POBLACION,3
ABRA,PIDIGAN,PANGTUD,3
ABRA,TAYUM,BASBASA,3
ABRA,BANGUED,ZONE 5 POB. (BO. BARIKIR),3
ABRA,ABRA-DOLORES,TALOGTOG,3
ABRA,BUCAY,CALAO,3
ABRA,PIDIGAN,PAMUTIC,3
ABRA,MANABO,CATACDEGAN VIEJO,3
ABRA,BUCAY,SALNEC,3
ABRA,BUCAY,BANGBANGCAG,3
ABRA,BANGUED,ANGAD,3
ABRA,BANGUED,AGTANGAO,3
ABRA,PIDIGAN,YUYENG,3
ABRA,BUCAY,SIBLONG,3
ABRA,SALLAPADAN,GANGAL,3
ABRA,ABRA-PILAR,MALIPLIPIT,3
ABRA,TUBO,AMTUAGAN,3
ABRA,BANGUED,ZONE 7 POB. (BALILING),3
ABRA,BANGUED,LINGTAN,3
ABRA,BANGUED,LIPCAN,3
ABRA,ABRA-SAN-JUAN,POBLACION SOUTH,3
ABRA,LAGANGILAN,LAGUIBEN,3
ABRA,MANABO,SAN JUAN NORTE,3
ABRA,LAGANGILAN,BALAIS,3
ABRA,PIDIGAN,POBLACION EAST,3
ABRA,VILLAVICIOSA,POBLACION,3
ABRA,BANGUED,TABLAC (CALOT),3
ABRA,ABRA-SAN-QUINTIN,TANGADAN,3
ABRA,LUBA,SABNANGAN,3
ABRA,BANGUED,PALAO,3
ABRA,TAYUM,PATUCANNAY,3
ABRA,PIDIGAN,SULBEC,3
ABRA,BANGUED,ZONE 1 POB. (NALASIN),3
ABRA,PENARRUBIA,DUMAYCO,3
ABRA,ABRA-SAN-JUAN,SUPI-IL,3
ABRA,ABRA-PILAR,OCUP,3
ABRA,BANGUED,BANACAO,3
ABRA,ABRA-PILAR,POBLACION,3
ABRA,BOLINEY,BOLINEY POBLACION,3
ABRA,MANABO,SAN JUAN SUR,3
ABRA,LUBA,POBLACION,3
ABRA,MANABO,SAN RAMON WEST,3
ABRA,BUCAY,LABON,3
ABRA,BANGUED,ZONE 4 POB. (TOWN PROPER),3
ABRA,ABRA-SAN-QUINTIN,PALANG,3
ABRA,BANGUED,PATUCANNAY,3
ABRA,PIDIGAN,ALINAYA,3
ABRA,TAYUM,GADDANI,3
ABRA,BUCAY,PAKILING,3
ABRA,PIDIGAN,MONGGOC,3
ABRA,LAGAYAN,PULOT,3
ABRA,BANGUED,BANGBANGAR,3
ABRA,ABRA-SAN-QUINTIN,POBLACION,3
ABRA,ABRA-PILAR,SOUTH BALIOAG,3
ABRA,ABRA-LA-PAZ,MALABBAGA,3
ABRA,BANGUED,CALABA,3
ABRA,BANGUED,CABULOAN,3
ABRA,LAGANGILAN,SAN ISIDRO,3
ABRA,SALLAPADAN,SACCAANG,3
ABRA,TAYUM,BUDAC,3
ABRA,ABRA-SAN-ISIDRO,PANTOC,3
ABRA,TAYUM,DEET,3
ABRA,ABRA-PILAR,PATAD,3
ABRA,ABRA-SAN-ISIDRO,LANGBABAN,3
ABRA,VILLAVICIOSA,TUQUIB,3
ABRA,LAGAYAN,POBLACION,3
ABRA,PIDIGAN,PANGTUD,3
ABRA,TAYUM,BASBASA,3
ABRA,BANGUED,ZONE 5 POB. (BO. BARIKIR),3
ABRA,ABRA-DOLORES,TALOGTOG,3
ABRA,BUCAY,CALAO,3
ABRA,PIDIGAN,PAMUTIC,3
ABRA,MANABO,CATACDEGAN VIEJO,3
ABRA,BUCAY,SALNEC,3
ABRA,BUCAY,BANGBANGCAG,3
ABRA,BANGUED,ANGAD,3
ABRA,BANGUED,AGTANGAO,3
ABRA,PIDIGAN,YUYENG,3
ABRA,BUCAY,SIBLONG,3
ABRA,SALLAPADAN,GANGAL,3
ABRA,ABRA-PILAR,MALIPLIPIT,3
ABRA,TUBO,AMTUAGAN,3
AGUSAN-DEL-NORTE,BUTUAN-CITY,ANTICALA,6
AGUSAN-DEL-NORTE,BUTUAN-CITY,BAYANIHAN POB. (BGY. 27),6
AGUSAN-DEL-NORTE,BUTUAN-CITY,LIBERTAD,6
AGUSAN-DEL-NORTE,JABONGA,BALEGUIAN,6
AGUSAN-DEL-NORTE,AGUSAN-DEL-NORTE-BUENAVISTA,ABILAN,6
AGUSAN-DEL-NORTE,AGUSAN-DEL-NORTE-BUENAVISTA,AGONG-ONG,6
AGUSAN-DEL-NORTE,BUTUAN-CITY,BADING POB. (BGY. 22),6
AGUSAN-DEL-NORTE,AGUSAN-DEL-NORTE-BUENAVISTA,GUINABSAN,6
AGUSAN-DEL-NORTE,BUTUAN-CITY,TINIWISAN,6
AGUSAN-DEL-NORTE,REMEDIOS-T.-ROMUALDEZ,POBLACION I (AGAY),6
AGUSAN-DEL-NORTE,BUTUAN-CITY,VILLA KANANGA,6
AGUSAN-DEL-NORTE,CABADBARAN-CITY,CALIBUNAN,6
AGUSAN-DEL-NORTE,NASIPIT,TALISAY,6
AGUSAN-DEL-NORTE,KITCHARAO,JALIOBONG,6
AGUSAN-DEL-NORTE,AGUSAN-DEL-NORTE-CARMEN,TAGCATONG,6
AGUSAN-DEL-NORTE,BUTUAN-CITY,DOONGAN,6
AGUSAN-DEL-NORTE,AGUSAN-DEL-NORTE-CARMEN,ROJALES,6
AGUSAN-DEL-NORTE,BUTUAN-CITY,LOS ANGELES,6
AGUSAN-DEL-NORTE,CABADBARAN-CITY,POBLACION 7,6
